abstract,articleID,articleWordCount,byline,documentType,headline,keywords,multimedia,newDesk,printPage,pubDate,sectionName,snippet,source,typeOfMaterial,webURL
,58def1347c459f24986d7c80,716,By STEPHEN HILTNER and SUSAN LEHMAN,article,Finding an Expansive View  of a Forgotten People in Niger,"['Photography', 'New York Times', 'Niger', 'Ferguson, Adam (1978- )', 'Boko Haram']",3,Insider,2,01-04-2017 00:15,Media,"One of the largest photo displays in Times history, of people who have fled Boko Haram, required an effort just as immense.",The New York Times,News,https://www.nytimes.com/2017/03/31/insider/niger-migrants-boko-haram-photography.html
,58def3237c459f24986d7c84,823,By GAIL COLLINS,article,"And Now,  the Dreaded Trump Curse","['United States Politics and Government', 'Trump, Donald J', 'Spicer, Sean M (1971- )', 'Ryan, Paul D Jr', 'Priebus, Reince R', 'Nunes, Devin G', 'Christie, Christopher J', 'Flynn, Michael G (1983- )', 'Mines and Mining', 'Russia']",3,OpEd,23,01-04-2017 00:23,Media,Meet the gang from under the bus.,The New York Times,Op-Ed,https://www.nytimes.com/2017/03/31/opinion/and-now-the-dreaded-trump-curse.html
,58def9f57c459f24986d7c90,575,By THE EDITORIAL BOARD,article,Venezuela’s Descent Into Dictatorship,"['Venezuela', 'Politics and Government', 'Maduro, Nicolas']",3,Editorial,22,01-04-2017 00:53,Media,A court ruling annulling the legislature’s authority represents a dangerous turning point for Venezuela.,The New York Times,Editorial,https://www.nytimes.com/2017/03/31/opinion/venezuelas-descent-into-dictatorship.html
,58defd317c459f24986d7c95,1374,By MICHAEL POWELL,article,Stain Permeates Basketball Blue Blood,"['Basketball (College)', 'University of North Carolina', 'Williams, Roy A', 'Cheating', 'NCAA Basketball Championships (Men)']",3,Sports,1,01-04-2017 01:06,College Basketball,"For two decades, until 2013, North Carolina engaged in academic improprieties that benefited its student-athletes. The repercussions are still being felt.",The New York Times,News,https://www.nytimes.com/2017/03/31/sports/ncaabasketball/north-carolina-final-four-cheating-fake-classes.html
,58df09b77c459f24986d7ca7,708,By DEB AMLEN,article,Taking Things for Granted,['Crossword Puzzles'],3,Games,0,01-04-2017 02:00,Media,In which Howard Barkin and Will Shortz teach us a lesson.,The New York Times,News,https://www.nytimes.com/2017/03/31/crosswords/taking-things-for-granted-great-lakes-poetic-stanza.html
,58df09b77c459f24986d7ca8,1065,By BEN BRANTLEY,article,The Caged Beast Awakens,"['Theater', 'Park Avenue Armory (Manhattan, NY)', 'The Hairy Ape (Play)', ""O'Neill, Eugene"", 'Cannavale, Bobby', 'Jones, Richard (1953- )', 'Laing, Stewart']",3,Culture,1,01-04-2017 02:00,Media,"In this visually ravishing production, Bobby Cannavale steps into a part that has been waiting for him for decades.",The New York Times,Review,https://www.nytimes.com/2017/03/31/theater/hairy-ape-review-bobby-cannavale-eugene-oneill.html
,58df6c317c459f24986d7d0a,2094,By TIMOTHY TAYLOR,article,An Ever-Unfolding Story,"['Travel and Vacations', 'Vancouver (British Columbia)']",3,Travel,1,01-04-2017 09:00,Media,"For the author, this gleaming, complex city in British Columbia is “a rolling, improvisatory work in progress.”",The New York Times,News,https://www.nytimes.com/2017/04/01/travel/vancouver-british-columbia-canada-unfolding-story-culture.html
,58dfadc07c459f24986d7d48,3172,By EMILY STEEL and MICHAEL S. SCHMIDT,article,O’Reilly Thrives as Settlements Add Up,"[""O'Reilly, Bill"", 'Fox News Channel', 'Sexual Harassment', '21st Century Fox', 'News and News Media']",3,Business,1,01-04-2017 13:40,Media,About $13 million has been paid out over the years to address complaints from women about Mr. O’Reilly’s behavior. He denies the claims have merit.,The New York Times,News,https://www.nytimes.com/2017/04/01/business/media/bill-oreilly-sexual-harassment-fox-news.html
,58dfb2737c459f24986d7d50,391,By RONDA KAYSEN,article,Mouse Infestation,"['Mice', 'Real Estate and Housing (Residential)']",3,RealEstate,2,01-04-2017 14:00,Media,"Getting rid of mice isn’t easy, but it’s a co-op board’s responsibility if a building becomes infested.",The New York Times,News,https://www.nytimes.com/2017/04/01/realestate/dealing-with-a-mouse-infestation.html
,58dfca3e7c459f24986d7d71,1488,By NICHOLAS CONFESSORE and ALAN RAPPEPORT,article,Divide in G.O.P. Now Threatens Trump Tax Plan,"['Taxation', 'Trump, Donald J', 'Koch, Charles G', 'Koch, David H', 'Americans for Prosperity', 'Club for Growth', 'Koch Industries Inc', 'Republican Party', 'United States Politics and Government', 'House of Representatives', 'International Trade and World Market']",3,National,1,01-04-2017 15:41,Politics,"A proposed “border adjustment” tax is meeting furious opposition, threatening to jeopardize yet another signature legislative initiative.",The New York Times,News,https://www.nytimes.com/2017/04/01/us/politics/trump-border-tax-import-koch.html
,58dfce877c459f24986d7d77,398,By DEB AMLEN,article,Variety Puzzle: Acrostic,"['Crossword Puzzles', 'Acrostic Puzzles']",0,Games,0,01-04-2017 16:00,Politics,Emily Cox and Henry Rathvon reveal a miracle.,The New York Times,News,https://www.nytimes.com/2017/04/01/crosswords/variety-puzzle-acrostic.html
,58dfe4107c459f24986d7d9e,1303,By BILL PENNINGTON,article,They Can Hit a Ball 400 Feet. But Play Catch? That’s Tricky.,"['Baseball', 'Baseball (College)']",3,Sports,1,01-04-2017 17:31,Baseball,"In modern youth baseball, the fundamentals are falling by the wayside in favor of flashier skills like big-league-style hitting and pitching.",The New York Times,News,https://www.nytimes.com/2017/04/01/sports/baseball/they-can-hit-400-foot-homers-but-playing-catch-thats-tricky.html
,58dff0827c459f24986d7daa,879,By NICHOLAS KRISTOF,article,"In Trump Country, Shock at Trump Budget Cuts","['Trump, Donald J', 'United States Politics and Government', 'Labor and Jobs', 'Layoffs and Job Reductions', 'Voting and Voters', 'Federal Budget (US)', 'Tulsa (Okla)']",3,OpEd,9,01-04-2017 18:24,Sunday Review,People who have depended on programs that would be hurt by the president’s cost-cutting say they stand by him.,The New York Times,Op-Ed,https://www.nytimes.com/2017/04/01/opinion/sunday/in-trump-country-shock-at-trump-budget-cuts-but-still-loyalty.html
,58dff1b17c459f24986d7dae,1513,By MICHELLE GOLDBERG,article,Why Is This Hate Different From All Other Hate?,"['Jews and Judaism', 'Muslim Americans', 'Trump, Donald J', 'Gorka, Sebastian', 'Bannon, Stephen K', 'Breitbart News Network LLC', 'Anti-Semitism', 'Muslims and Islam', 'Flynn, Michael T']",2,OpEd,3,01-04-2017 18:30,Sunday Review,"We’re on high alert for anti-Semitism, but the real bigotry is hiding in plain sight.",The New York Times,Op-Ed,https://www.nytimes.com/2017/04/01/opinion/sunday/why-is-this-hate-different-from-all-other-hate.html
,58dff1af7c459f24986d7dab,1253,By THE EDITORIAL BOARD,article,Pick Your Favorite Ethical Offender,"['Conflicts of Interest', 'Trump, Donald J', 'Appointments and Executive Changes', 'Trump, Ivanka', 'Kushner, Jared', 'United States Politics and Government', 'Ethics and Official Misconduct', 'Gottlieb, Scott (1972- )', 'Icahn, Carl C', 'Liddell, Christopher P', 'Perdue, Sonny', 'Bannon, Stephen K']",3,Editorial,8,01-04-2017 18:30,Sunday Review,"Many Trump officials — friends, family members and close aides — stand to rake it in at the public’s expense.",The New York Times,Editorial,https://www.nytimes.com/2017/04/01/opinion/sunday/pick-your-favorite-ethics-offender.html
,58dff1bc7c459f24986d7db2,1079,By REBECCA CARROLL,article,My Son’s Growing Black Pride,"['Blacks', 'Race and Ethnicity', 'Discrimination', 'Police Brutality, Misconduct and Shootings', 'Social Conditions and Trends']",3,OpEd,6,01-04-2017 18:30,Sunday Review,"“You’re so lucky,” my son said to me. “People look at you and know that you are black.”",The New York Times,Op-Ed,https://www.nytimes.com/2017/04/01/opinion/sunday/black-and-proud-even-if-strangers-cant-tell.html
